"bdgt_id","dma2_name","chan1_name","dma1_name","client_id","chan1_id","dma2_id","dma1_id","week_id","percent_max","sp_max_h","sp_min_h"
"26_15_345_6",NULL,NULL,NULL,12,26,15,345,6,NULL,NULL,NULL
"26_15_345_7",NULL,NULL,NULL,12,26,15,345,7,NULL,NULL,NULL
"26_15_345_8",NULL,NULL,NULL,12,26,15,345,8,NULL,NULL,NULL
"26_15_345_9",NULL,NULL,NULL,12,26,15,345,9,NULL,NULL,NULL
"26_16_345_0",NULL,NULL,NULL,12,26,16,345,0,NULL,NULL,NULL
"26_16_345_1",NULL,NULL,NULL,12,26,16,345,1,NULL,NULL,NULL
"26_16_345_10",NULL,NULL,NULL,12,26,16,345,10,NULL,NULL,NULL
"26_16_345_11",NULL,NULL,NULL,12,26,16,345,11,NULL,NULL,NULL
"26_16_345_12",NULL,NULL,NULL,12,26,16,345,12,NULL,NULL,NULL
"26_16_345_13",NULL,NULL,NULL,12,26,16,345,13,NULL,NULL,NULL
"26_16_345_14",NULL,NULL,NULL,12,26,16,345,14,NULL,NULL,NULL
"26_16_345_15",NULL,NULL,NULL,12,26,16,345,15,NULL,NULL,NULL
"26_16_345_16",NULL,NULL,NULL,12,26,16,345,16,NULL,NULL,NULL
"26_16_345_17",NULL,NULL,NULL,12,26,16,345,17,NULL,NULL,NULL
"26_16_345_18",NULL,NULL,NULL,12,26,16,345,18,NULL,NULL,NULL
"26_16_345_19",NULL,NULL,NULL,12,26,16,345,19,NULL,NULL,NULL
"26_16_345_2",NULL,NULL,NULL,12,26,16,345,2,NULL,NULL,NULL
"26_16_345_20",NULL,NULL,NULL,12,26,16,345,20,NULL,NULL,NULL
"26_16_345_21",NULL,NULL,NULL,12,26,16,345,21,NULL,NULL,NULL
"26_16_345_22",NULL,NULL,NULL,12,26,16,345,22,NULL,NULL,NULL
"26_16_345_23",NULL,NULL,NULL,12,26,16,345,23,NULL,NULL,NULL
"26_16_345_24",NULL,NULL,NULL,12,26,16,345,24,NULL,NULL,NULL
"26_16_345_25",NULL,NULL,NULL,12,26,16,345,25,NULL,NULL,NULL
"26_16_345_26",NULL,NULL,NULL,12,26,16,345,26,NULL,NULL,NULL
"26_16_345_27",NULL,NULL,NULL,12,26,16,345,27,NULL,NULL,NULL
"26_16_345_28",NULL,NULL,NULL,12,26,16,345,28,NULL,NULL,NULL
"26_16_345_29",NULL,NULL,NULL,12,26,16,345,29,NULL,NULL,NULL
"26_16_345_3",NULL,NULL,NULL,12,26,16,345,3,NULL,NULL,NULL
"26_16_345_30",NULL,NULL,NULL,12,26,16,345,30,NULL,NULL,NULL
"26_16_345_31",NULL,NULL,NULL,12,26,16,345,31,NULL,NULL,NULL
"26_16_345_32",NULL,NULL,NULL,12,26,16,345,32,NULL,NULL,NULL
"26_16_345_33",NULL,NULL,NULL,12,26,16,345,33,NULL,NULL,NULL
"26_16_345_34",NULL,NULL,NULL,12,26,16,345,34,NULL,NULL,NULL
"26_16_345_35",NULL,NULL,NULL,12,26,16,345,35,NULL,NULL,NULL
"26_16_345_36",NULL,NULL,NULL,12,26,16,345,36,NULL,NULL,NULL
"26_16_345_37",NULL,NULL,NULL,12,26,16,345,37,NULL,NULL,NULL
"26_16_345_38",NULL,NULL,NULL,12,26,16,345,38,NULL,NULL,NULL
"26_16_345_39",NULL,NULL,NULL,12,26,16,345,39,NULL,NULL,NULL
"26_16_345_4",NULL,NULL,NULL,12,26,16,345,4,NULL,NULL,NULL
"26_16_345_40",NULL,NULL,NULL,12,26,16,345,40,NULL,NULL,NULL
"26_16_345_41",NULL,NULL,NULL,12,26,16,345,41,NULL,NULL,NULL
"26_16_345_42",NULL,NULL,NULL,12,26,16,345,42,NULL,NULL,NULL
"26_16_345_43",NULL,NULL,NULL,12,26,16,345,43,NULL,NULL,NULL
"26_16_345_44",NULL,NULL,NULL,12,26,16,345,44,NULL,NULL,NULL
"26_16_345_45",NULL,NULL,NULL,12,26,16,345,45,NULL,NULL,NULL
"26_16_345_46",NULL,NULL,NULL,12,26,16,345,46,NULL,NULL,NULL
"26_16_345_47",NULL,NULL,NULL,12,26,16,345,47,NULL,NULL,NULL
"26_16_345_48",NULL,NULL,NULL,12,26,16,345,48,NULL,NULL,NULL
"26_16_345_49",NULL,NULL,NULL,12,26,16,345,49,NULL,NULL,NULL
"26_16_345_5",NULL,NULL,NULL,12,26,16,345,5,NULL,NULL,NULL
"26_16_345_50",NULL,NULL,NULL,12,26,16,345,50,NULL,NULL,NULL
"26_16_345_51",NULL,NULL,NULL,12,26,16,345,51,NULL,NULL,NULL
"26_16_345_52",NULL,NULL,NULL,12,26,16,345,52,NULL,NULL,NULL
"26_16_345_53",NULL,NULL,NULL,12,26,16,345,53,NULL,NULL,NULL
"26_16_345_6",NULL,NULL,NULL,12,26,16,345,6,NULL,NULL,NULL
"26_16_345_7",NULL,NULL,NULL,12,26,16,345,7,NULL,NULL,NULL
"26_16_345_8",NULL,NULL,NULL,12,26,16,345,8,NULL,NULL,NULL
"26_16_345_9",NULL,NULL,NULL,12,26,16,345,9,NULL,NULL,NULL
"26_17_345_0",NULL,NULL,NULL,12,26,17,345,0,NULL,NULL,NULL
"26_17_345_1",NULL,NULL,NULL,12,26,17,345,1,NULL,NULL,NULL
"26_17_345_10",NULL,NULL,NULL,12,26,17,345,10,NULL,NULL,NULL
"26_17_345_11",NULL,NULL,NULL,12,26,17,345,11,NULL,NULL,NULL
"26_17_345_12",NULL,NULL,NULL,12,26,17,345,12,NULL,NULL,NULL
"26_17_345_13",NULL,NULL,NULL,12,26,17,345,13,NULL,NULL,NULL
"26_17_345_14",NULL,NULL,NULL,12,26,17,345,14,NULL,NULL,NULL
"26_17_345_15",NULL,NULL,NULL,12,26,17,345,15,NULL,NULL,NULL
"26_17_345_16",NULL,NULL,NULL,12,26,17,345,16,NULL,NULL,NULL
"26_17_345_17",NULL,NULL,NULL,12,26,17,345,17,NULL,NULL,NULL
"26_17_345_18",NULL,NULL,NULL,12,26,17,345,18,NULL,NULL,NULL
"26_17_345_19",NULL,NULL,NULL,12,26,17,345,19,NULL,NULL,NULL
"26_17_345_2",NULL,NULL,NULL,12,26,17,345,2,NULL,NULL,NULL
"26_17_345_20",NULL,NULL,NULL,12,26,17,345,20,NULL,NULL,NULL
"26_17_345_21",NULL,NULL,NULL,12,26,17,345,21,NULL,NULL,NULL
"26_17_345_22",NULL,NULL,NULL,12,26,17,345,22,NULL,NULL,NULL
"26_17_345_23",NULL,NULL,NULL,12,26,17,345,23,NULL,NULL,NULL
"26_17_345_24",NULL,NULL,NULL,12,26,17,345,24,NULL,NULL,NULL
"26_17_345_25",NULL,NULL,NULL,12,26,17,345,25,NULL,NULL,NULL
"26_17_345_26",NULL,NULL,NULL,12,26,17,345,26,NULL,NULL,NULL
"26_17_345_27",NULL,NULL,NULL,12,26,17,345,27,NULL,NULL,NULL
"26_17_345_28",NULL,NULL,NULL,12,26,17,345,28,NULL,NULL,NULL
"26_17_345_29",NULL,NULL,NULL,12,26,17,345,29,NULL,NULL,NULL
"26_17_345_3",NULL,NULL,NULL,12,26,17,345,3,NULL,NULL,NULL
"26_17_345_30",NULL,NULL,NULL,12,26,17,345,30,NULL,NULL,NULL
"26_17_345_31",NULL,NULL,NULL,12,26,17,345,31,NULL,NULL,NULL
"26_17_345_32",NULL,NULL,NULL,12,26,17,345,32,NULL,NULL,NULL
"26_17_345_33",NULL,NULL,NULL,12,26,17,345,33,NULL,NULL,NULL
"26_17_345_34",NULL,NULL,NULL,12,26,17,345,34,NULL,NULL,NULL
"26_17_345_35",NULL,NULL,NULL,12,26,17,345,35,NULL,NULL,NULL
"26_17_345_36",NULL,NULL,NULL,12,26,17,345,36,NULL,NULL,NULL
"26_17_345_37",NULL,NULL,NULL,12,26,17,345,37,NULL,NULL,NULL
"26_17_345_38",NULL,NULL,NULL,12,26,17,345,38,NULL,NULL,NULL
"26_17_345_39",NULL,NULL,NULL,12,26,17,345,39,NULL,NULL,NULL
"26_17_345_4",NULL,NULL,NULL,12,26,17,345,4,NULL,NULL,NULL
"26_17_345_40",NULL,NULL,NULL,12,26,17,345,40,NULL,NULL,NULL
"26_17_345_41",NULL,NULL,NULL,12,26,17,345,41,NULL,NULL,NULL
"26_17_345_42",NULL,NULL,NULL,12,26,17,345,42,NULL,NULL,NULL
"26_17_345_43",NULL,NULL,NULL,12,26,17,345,43,NULL,NULL,NULL
"26_17_345_44",NULL,NULL,NULL,12,26,17,345,44,NULL,NULL,NULL
"26_17_345_45",NULL,NULL,NULL,12,26,17,345,45,NULL,NULL,NULL
"26_17_345_46",NULL,NULL,NULL,12,26,17,345,46,NULL,NULL,NULL
"26_17_345_47",NULL,NULL,NULL,12,26,17,345,47,NULL,NULL,NULL
"26_17_345_48",NULL,NULL,NULL,12,26,17,345,48,NULL,NULL,NULL
"26_17_345_49",NULL,NULL,NULL,12,26,17,345,49,NULL,NULL,NULL
"26_17_345_5",NULL,NULL,NULL,12,26,17,345,5,NULL,NULL,NULL
"26_17_345_50",NULL,NULL,NULL,12,26,17,345,50,NULL,NULL,NULL
